song_name,name,song_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
its different now,Futuristic,6H5TYO99H0twhaMrtAHjoK,41,0.618,0.588,1,-10.818,0,0.443,0.423,1.32E-06,0.226,0.487,172.253,audio_features,6H5TYO99H0twhaMrtAHjoK,spotify:track:6H5TYO99H0twhaMrtAHjoK,https://api.spotify.com/v1/tracks/6H5TYO99H0twhaMrtAHjoK,https://api.spotify.com/v1/audio-analysis/6H5TYO99H0twhaMrtAHjoK,202326,4
its different now,Phora,6H5TYO99H0twhaMrtAHjoK,41,0.618,0.588,1,-10.818,0,0.443,0.423,1.32E-06,0.226,0.487,172.253,audio_features,6H5TYO99H0twhaMrtAHjoK,spotify:track:6H5TYO99H0twhaMrtAHjoK,https://api.spotify.com/v1/tracks/6H5TYO99H0twhaMrtAHjoK,https://api.spotify.com/v1/audio-analysis/6H5TYO99H0twhaMrtAHjoK,202326,4
Parted Ways,Arizona Zervas,3Sx8k6SH4gqMMjS7nqLcJR,46,0.854,0.324,2,-7.634,1,0.0741,0.133,9.13E-05,0.0876,0.0734,132.963,audio_features,3Sx8k6SH4gqMMjS7nqLcJR,spotify:track:3Sx8k6SH4gqMMjS7nqLcJR,https://api.spotify.com/v1/tracks/3Sx8k6SH4gqMMjS7nqLcJR,https://api.spotify.com/v1/audio-analysis/3Sx8k6SH4gqMMjS7nqLcJR,205714,4
Parted Ways,Arye,3Sx8k6SH4gqMMjS7nqLcJR,46,0.854,0.324,2,-7.634,1,0.0741,0.133,9.13E-05,0.0876,0.0734,132.963,audio_features,3Sx8k6SH4gqMMjS7nqLcJR,spotify:track:3Sx8k6SH4gqMMjS7nqLcJR,https://api.spotify.com/v1/tracks/3Sx8k6SH4gqMMjS7nqLcJR,https://api.spotify.com/v1/audio-analysis/3Sx8k6SH4gqMMjS7nqLcJR,205714,4
Car Radio,Twenty One Pilots,5cbpoIu3YjoOwbBDGUEp3P,70,0.766,0.519,9,-7.355,0,0.0366,0.098,0,0.0855,0.612,129.972,audio_features,5cbpoIu3YjoOwbBDGUEp3P,spotify:track:5cbpoIu3YjoOwbBDGUEp3P,https://api.spotify.com/v1/tracks/5cbpoIu3YjoOwbBDGUEp3P,https://api.spotify.com/v1/audio-analysis/5cbpoIu3YjoOwbBDGUEp3P,267720,4
Backslide,Twenty One Pilots,62aSL7D64td5wr09L6iFiV,78,0.684,0.652,3,-6.258,1,0.26,0.128,0,0.0719,0.541,85.104,audio_features,62aSL7D64td5wr09L6iFiV,spotify:track:62aSL7D64td5wr09L6iFiV,https://api.spotify.com/v1/tracks/62aSL7D64td5wr09L6iFiV,https://api.spotify.com/v1/audio-analysis/62aSL7D64td5wr09L6iFiV,180000,4
lost boys,mgk,6BTYi4q1Vpmr4BMcY8KUdC,66,0.649,0.386,7,-9.664,1,0.0481,0.749,0,0.111,0.295,78.061,audio_features,6BTYi4q1Vpmr4BMcY8KUdC,spotify:track:6BTYi4q1Vpmr4BMcY8KUdC,https://api.spotify.com/v1/tracks/6BTYi4q1Vpmr4BMcY8KUdC,https://api.spotify.com/v1/audio-analysis/6BTYi4q1Vpmr4BMcY8KUdC,161228,4
lost boys,Trippie Redd,6BTYi4q1Vpmr4BMcY8KUdC,66,0.649,0.386,7,-9.664,1,0.0481,0.749,0,0.111,0.295,78.061,audio_features,6BTYi4q1Vpmr4BMcY8KUdC,spotify:track:6BTYi4q1Vpmr4BMcY8KUdC,https://api.spotify.com/v1/tracks/6BTYi4q1Vpmr4BMcY8KUdC,https://api.spotify.com/v1/audio-analysis/6BTYi4q1Vpmr4BMcY8KUdC,161228,4
Stressed Out,Twenty One Pilots,3CRDbSIZ4r5MsZ0YwxuEkn,85,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29E-05,0.0602,0.648,169.977,audio_features,3CRDbSIZ4r5MsZ0YwxuEkn,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,https://api.spotify.com/v1/tracks/3CRDbSIZ4r5MsZ0YwxuEkn,https://api.spotify.com/v1/audio-analysis/3CRDbSIZ4r5MsZ0YwxuEkn,202333,4
I Don't Wanna Lose,Classified,72HjQbtNlsEnvUg5VNeueD,37,0.545,0.772,6,-7.137,0,0.354,0.0101,0,0.222,0.63,170.061,audio_features,72HjQbtNlsEnvUg5VNeueD,spotify:track:72HjQbtNlsEnvUg5VNeueD,https://api.spotify.com/v1/tracks/72HjQbtNlsEnvUg5VNeueD,https://api.spotify.com/v1/audio-analysis/72HjQbtNlsEnvUg5VNeueD,180000,4
